"SITECODE","LCODE","SDATE","FIELDNAME","VALUE"
"T06","02",24-FEB-92,"2542",1
"T06","02",24-FEB-92,"929",1
"T06","02",25-FEB-92,"2542",1
"T06","02",25-FEB-92,"929",1
"T06","02",05-MAR-92,"907",1
"T06","02",09-MAR-92,"571",1
"T06","02",09-MAR-92,"907",1
"T06","02",17-MAR-92,"669",1
"T06","02",02-APR-92,"382",2
"T06","02",07-APR-92,"382",1
"T06","02",09-APR-92,"382",1
"T06","02",19-APR-92,"382",1
"T06","02",20-APR-92,"388",1
"T06","02",20-APR-92,"595",1
"T06","02",20-APR-92,"382",1
"T06","02",20-APR-92,"669",1
"T06","02",22-APR-92,"382",1
"T06","02",23-APR-92,"382",1
"T06","02",02-MAY-92,"382",1
"T06","02",03-MAY-92,"877",1
"T06","02",03-MAY-92,"2553",1
"T06","02",05-MAY-92,"917",1
"T06","02",06-MAY-92,"529",1
"T06","02",08-MAY-92,"878",1
"T06","02",14-MAY-92,"878",1
"T06","02",15-MAY-92,"2178",10
"T06","02",15-MAY-92,"923",1
"T06","02",15-MAY-92,"887",1
"T06","02",15-MAY-92,"878",1
"T06","02",16-MAY-92,"2178",7
"T06","02",16-MAY-92,"923",2
"T06","02",16-MAY-92,"919",1
"T06","02",16-MAY-92,"2534",1
"T06","02",19-MAY-92,"878",1
"T06","02",19-MAY-92,"2178",2
"T06","02",20-MAY-92,"165",1
"T06","02",20-MAY-92,"2178",1
"T06","02",20-MAY-92,"2534",1
"T06","02",20-MAY-92,"923",2
"T06","02",20-MAY-92,"812",1
"T06","02",20-MAY-92,"919",1
"T06","02",20-MAY-92,"726",1
"T06","02",21-MAY-92,"2178",2
"T06","02",21-MAY-92,"2534",1
"T06","02",21-MAY-92,"923",2
"T06","02",21-MAY-92,"919",1
"T06","02",21-MAY-92,"878",3
"T06","02",22-MAY-92,"117",1
"T06","02",22-MAY-92,"165",1
"T06","02",22-MAY-92,"2549",1
"T06","02",22-MAY-92,"923",2
"T06","02",22-MAY-92,"864",1
"T06","02",22-MAY-92,"878",1
"T06","02",22-MAY-92,"850",1
"T06","02",23-MAY-92,"165",1
"T06","02",23-MAY-92,"2178",2
"T06","02",23-MAY-92,"2549",2
"T06","02",23-MAY-92,"923",1
"T06","02",23-MAY-92,"864",2
"T06","02",23-MAY-92,"878",1
"T06","02",23-MAY-92,"850",1
"T06","02",24-MAY-92,"863",1
"T06","02",24-MAY-92,"864",3
"T06","02",24-MAY-92,"923",2
"T06","02",24-MAY-92,"730",1
"T06","02",24-MAY-92,"162",1
"T06","02",24-MAY-92,"2549",2
"T06","02",24-MAY-92,"2550",1
"T06","02",24-MAY-92,"964",1
"T06","02",25-MAY-92,"2549",2
"T06","02",25-MAY-92,"448",1
"T06","02",25-MAY-92,"812",1
"T06","02",25-MAY-92,"923",1
"T06","02",25-MAY-92,"855",1
"T06","02",25-MAY-92,"864",2
"T06","02",25-MAY-92,"850",1
"T06","02",26-MAY-92,"165",1
"T06","02",26-MAY-92,"2178",1
"T06","02",26-MAY-92,"2549",7
"T06","02",26-MAY-92,"313",1
"T06","02",26-MAY-92,"923",1
"T06","02",26-MAY-92,"776",1
"T06","02",26-MAY-92,"850",3
"T06","02",26-MAY-92,"864",7
"T06","02",26-MAY-92,"448",1
"T06","02",27-MAY-92,"2549",1
"T06","02",27-MAY-92,"269",1
"T06","02",27-MAY-92,"864",1
"T06","02",27-MAY-92,"776",1
"T06","02",27-MAY-92,"351",1
"T06","02",28-MAY-92,"864",1
"T06","02",28-MAY-92,"878",1
"T06","02",28-MAY-92,"2549",1
"T06","02",28-MAY-92,"269",1
"T06","02",28-MAY-92,"277",1
"T06","02",28-MAY-92,"728",1
"T06","02",28-MAY-92,"776",1
"T06","02",29-MAY-92,"2549",7
"T06","02",29-MAY-92,"2178",2
"T06","02",29-MAY-92,"269",2
"T06","02",29-MAY-92,"448",1
"T06","02",29-MAY-92,"864",7
"T06","02",30-MAY-92,"269",2
"T06","02",30-MAY-92,"2549",1
"T06","02",30-MAY-92,"448",1
"T06","02",30-MAY-92,"864",1
"T06","02",31-MAY-92,"194",1
"T06","02",31-MAY-92,"2549",6
"T06","02",31-MAY-92,"2552",1
"T06","02",31-MAY-92,"681",1
"T06","02",31-MAY-92,"864",6
"T06","02",31-MAY-92,"866",1
"T06","02",01-JUN-92,"2178",2
"T06","02",01-JUN-92,"2549",7
"T06","02",01-JUN-92,"269",1
"T06","02",01-JUN-92,"299",1
"T06","02",01-JUN-92,"302",1
"T06","02",01-JUN-92,"923",1
"T06","02",01-JUN-92,"725",1
"T06","02",01-JUN-92,"776",1
"T06","02",01-JUN-92,"850",1
"T06","02",01-JUN-92,"864",7
"T06","02",01-JUN-92,"504",1
"T06","02",02-JUN-92,"776",1
"T06","02",02-JUN-92,"269",2
"T06","02",03-JUN-92,"776",1
"T06","02",03-JUN-92,"857",1
"T06","02",03-JUN-92,"473",1
"T06","02",03-JUN-92,"285",1
"T06","02",03-JUN-92,"302",1
"T06","02",03-JUN-92,"2178",1
"T06","02",04-JUN-92,"269",2
"T06","02",04-JUN-92,"465",1
"T06","02",04-JUN-92,"400",1
"T06","02",04-JUN-92,"285",1
"T06","02",06-JUN-92,"448",1
"T06","02",06-JUN-92,"302",1
"T06","02",07-JUN-92,"282",1
"T06","02",07-JUN-92,"429",1
"T06","02",07-JUN-92,"895",1
"T06","02",07-JUN-92,"776",1
"T06","02",07-JUN-92,"269",3
"T06","02",07-JUN-92,"465",2
"T06","02",08-JUN-92,"2178",1
"T06","02",08-JUN-92,"653",1
"T06","02",08-JUN-92,"430",1
"T06","02",08-JUN-92,"269",1
"T06","02",09-JUN-92,"2549",2
"T06","02",09-JUN-92,"393",1
"T06","02",09-JUN-92,"429",1
"T06","02",09-JUN-92,"899",1
"T06","02",09-JUN-92,"462",1
"T06","02",09-JUN-92,"710",1
"T06","02",09-JUN-92,"864",2
"T06","02",09-JUN-92,"430",1
"T06","02",10-JUN-92,"2505",1
"T06","02",10-JUN-92,"2549",2
"T06","02",10-JUN-92,"864",2
"T06","02",10-JUN-92,"354",1
"T06","02",10-JUN-92,"430",1
"T06","02",10-JUN-92,"299",1
"T06","02",11-JUN-92,"299",1
"T06","02",11-JUN-92,"285",3
"T06","02",12-JUN-92,"2551",1
"T06","02",12-JUN-92,"285",1
"T06","02",12-JUN-92,"866",1
"T06","02",12-JUN-92,"776",1
"T06","02",12-JUN-92,"463",1
"T06","02",13-JUN-92,"2549",1
"T06","02",13-JUN-92,"2551",1
"T06","02",13-JUN-92,"285",1
"T06","02",13-JUN-92,"299",1
"T06","02",13-JUN-92,"866",1
"T06","02",13-JUN-92,"430",1
"T06","02",13-JUN-92,"465",1
"T06","02",13-JUN-92,"717",1
"T06","02",13-JUN-92,"864",1
"T06","02",13-JUN-92,"313",1
"T06","02",14-JUN-92,"2549",1
"T06","02",14-JUN-92,"2551",1
"T06","02",14-JUN-92,"430",3
"T06","02",14-JUN-92,"463",1
"T06","02",14-JUN-92,"923",1
"T06","02",14-JUN-92,"864",1
"T06","02",14-JUN-92,"866",1
"T06","02",14-JUN-92,"899",1
"T06","02",14-JUN-92,"504",1
"T06","02",15-JUN-92,"864",1
"T06","02",15-JUN-92,"299",1
"T06","02",15-JUN-92,"465",1
"T06","02",15-JUN-92,"285",1
"T06","02",15-JUN-92,"772",1
"T06","02",15-JUN-92,"2549",1
"T06","02",15-JUN-92,"717",1
"T06","02",16-JUN-92,"277",1
"T06","02",16-JUN-92,"400",1
"T06","02",16-JUN-92,"444",1
"T06","02",16-JUN-92,"857",1
"T06","02",16-JUN-92,"710",1
"T06","02",16-JUN-92,"730",1
"T06","02",16-JUN-92,"776",1
"T06","02",16-JUN-92,"465",1
"T06","02",18-JUN-92,"166",1
"T06","02",18-JUN-92,"2505",1
"T06","02",18-JUN-92,"430",3
"T06","02",18-JUN-92,"462",1
"T06","02",18-JUN-92,"463",1
"T06","02",18-JUN-92,"707",1
"T06","02",18-JUN-92,"717",1
"T06","02",18-JUN-92,"776",1
"T06","02",20-JUN-92,"313",1
"T06","02",20-JUN-92,"304",1
"T06","02",21-JUN-92,"463",1
"T06","02",21-JUN-92,"923",1
"T06","02",21-JUN-92,"771",1
"T06","02",22-JUN-92,"166",3
"T06","02",22-JUN-92,"2178",2
"T06","02",22-JUN-92,"2505",1
"T06","02",22-JUN-92,"285",4
"T06","02",22-JUN-92,"899",1
"T06","02",22-JUN-92,"353",1
"T06","02",22-JUN-92,"694",1
"T06","02",22-JUN-92,"707",1
"T06","02",22-JUN-92,"299",1
"T06","02",23-JUN-92,"166",1
"T06","02",23-JUN-92,"2540",1
"T06","02",23-JUN-92,"285",3
