"SITECODE","LCODE","FROMDATE","SDATE","SPERIOD_D","YEAR","WEEK"
"T06","02",23-FEB-92,24-FEB-92,1,1992,7
"T06","02",24-FEB-92,25-FEB-92,1,1992,8
"T06","02",04-MAR-92,05-MAR-92,1,1992,9
"T06","02",08-MAR-92,09-MAR-92,1,1992,9
"T06","02",16-MAR-92,17-MAR-92,1,1992,11
"T06","02",01-APR-92,02-APR-92,1,1992,13
"T06","02",06-APR-92,07-APR-92,1,1992,14
"T06","02",08-APR-92,09-APR-92,1,1992,14
"T06","02",18-APR-92,19-APR-92,1,1992,15
"T06","02",19-APR-92,20-APR-92,1,1992,15
"T06","02",21-APR-92,22-APR-92,1,1992,16
"T06","02",22-APR-92,23-APR-92,1,1992,16
"T06","02",01-MAY-92,02-MAY-92,1,1992,17
"T06","02",02-MAY-92,03-MAY-92,1,1992,17
"T06","02",04-MAY-92,05-MAY-92,1,1992,18
"T06","02",05-MAY-92,06-MAY-92,1,1992,18
"T06","02",07-MAY-92,08-MAY-92,1,1992,18
"T06","02",13-MAY-92,14-MAY-92,1,1992,19
"T06","02",14-MAY-92,15-MAY-92,1,1992,19
"T06","02",15-MAY-92,16-MAY-92,1,1992,19
"T06","02",18-MAY-92,19-MAY-92,1,1992,20
"T06","02",19-MAY-92,20-MAY-92,1,1992,20
"T06","02",20-MAY-92,21-MAY-92,1,1992,20
"T06","02",21-MAY-92,22-MAY-92,1,1992,20
"T06","02",22-MAY-92,23-MAY-92,1,1992,20
"T06","02",23-MAY-92,24-MAY-92,1,1992,20
"T06","02",24-MAY-92,25-MAY-92,1,1992,20
"T06","02",25-MAY-92,26-MAY-92,1,1992,21
"T06","02",26-MAY-92,27-MAY-92,1,1992,21
"T06","02",27-MAY-92,28-MAY-92,1,1992,21
"T06","02",28-MAY-92,29-MAY-92,1,1992,21
"T06","02",29-MAY-92,30-MAY-92,1,1992,21
"T06","02",30-MAY-92,31-MAY-92,1,1992,21
"T06","02",31-MAY-92,01-JUN-92,1,1992,21
"T06","02",01-JUN-92,02-JUN-92,1,1992,22
"T06","02",02-JUN-92,03-JUN-92,1,1992,22
"T06","02",03-JUN-92,04-JUN-92,1,1992,22
"T06","02",05-JUN-92,06-JUN-92,1,1992,22
"T06","02",06-JUN-92,07-JUN-92,1,1992,22
"T06","02",07-JUN-92,08-JUN-92,1,1992,22
"T06","02",08-JUN-92,09-JUN-92,1,1992,23
"T06","02",09-JUN-92,10-JUN-92,1,1992,23
"T06","02",10-JUN-92,11-JUN-92,1,1992,23
"T06","02",11-JUN-92,12-JUN-92,1,1992,23
"T06","02",12-JUN-92,13-JUN-92,1,1992,23
"T06","02",13-JUN-92,14-JUN-92,1,1992,23
"T06","02",14-JUN-92,15-JUN-92,1,1992,23
"T06","02",15-JUN-92,16-JUN-92,1,1992,24
"T06","02",17-JUN-92,18-JUN-92,1,1992,24
"T06","02",19-JUN-92,20-JUN-92,1,1992,24
"T06","02",20-JUN-92,21-JUN-92,1,1992,24
"T06","02",21-JUN-92,22-JUN-92,1,1992,24
"T06","02",22-JUN-92,23-JUN-92,1,1992,25
"T06","02",23-JUN-92,24-JUN-92,1,1992,25
"T06","02",24-JUN-92,25-JUN-92,1,1992,25
"T06","02",25-JUN-92,26-JUN-92,1,1992,25
"T06","02",26-JUN-92,27-JUN-92,1,1992,25
"T06","02",27-JUN-92,28-JUN-92,1,1992,25
"T06","02",28-JUN-92,29-JUN-92,1,1992,25
"T06","02",29-JUN-92,30-JUN-92,1,1992,26
"T06","02",30-JUN-92,01-JUL-92,1,1992,26
"T06","02",01-JUL-92,02-JUL-92,1,1992,26
"T06","02",02-JUL-92,03-JUL-92,1,1992,26
"T06","02",03-JUL-92,04-JUL-92,1,1992,26
"T06","02",04-JUL-92,05-JUL-92,1,1992,26
"T06","02",05-JUL-92,06-JUL-92,1,1992,26
"T06","02",06-JUL-92,07-JUL-92,1,1992,27
"T06","02",07-JUL-92,08-JUL-92,1,1992,27
"T06","02",08-JUL-92,09-JUL-92,1,1992,27
"T06","02",09-JUL-92,10-JUL-92,1,1992,27
"T06","02",10-JUL-92,11-JUL-92,1,1992,27
"T06","02",11-JUL-92,12-JUL-92,1,1992,27
"T06","02",12-JUL-92,13-JUL-92,1,1992,27
"T06","02",14-JUL-92,15-JUL-92,1,1992,28
"T06","02",15-JUL-92,16-JUL-92,1,1992,28
"T06","02",16-JUL-92,17-JUL-92,1,1992,28
"T06","02",17-JUL-92,18-JUL-92,1,1992,28
"T06","02",18-JUL-92,19-JUL-92,1,1992,28
"T06","02",19-JUL-92,20-JUL-92,1,1992,28
"T06","02",20-JUL-92,21-JUL-92,1,1992,29
"T06","02",21-JUL-92,22-JUL-92,1,1992,29
"T06","02",22-JUL-92,23-JUL-92,1,1992,29
"T06","02",23-JUL-92,24-JUL-92,1,1992,29
"T06","02",24-JUL-92,25-JUL-92,1,1992,29
"T06","02",25-JUL-92,26-JUL-92,1,1992,29
"T06","02",26-JUL-92,27-JUL-92,1,1992,29
"T06","02",27-JUL-92,28-JUL-92,1,1992,30
"T06","02",28-JUL-92,29-JUL-92,1,1992,30
"T06","02",29-JUL-92,30-JUL-92,1,1992,30
"T06","02",30-JUL-92,31-JUL-92,1,1992,30
"T06","02",31-JUL-92,01-AUG-92,1,1992,30
"T06","02",01-AUG-92,02-AUG-92,1,1992,30
"T06","02",02-AUG-92,03-AUG-92,1,1992,30
"T06","02",03-AUG-92,04-AUG-92,1,1992,31
"T06","02",04-AUG-92,05-AUG-92,1,1992,31
"T06","02",05-AUG-92,06-AUG-92,1,1992,31
"T06","02",06-AUG-92,07-AUG-92,1,1992,31
"T06","02",07-AUG-92,08-AUG-92,1,1992,31
"T06","02",08-AUG-92,09-AUG-92,1,1992,31
"T06","02",09-AUG-92,10-AUG-92,1,1992,31
"T06","02",10-AUG-92,11-AUG-92,1,1992,32
"T06","02",11-AUG-92,12-AUG-92,1,1992,32
"T06","02",13-AUG-92,14-AUG-92,1,1992,32
"T06","02",14-AUG-92,15-AUG-92,1,1992,32
"T06","02",15-AUG-92,16-AUG-92,1,1992,32
"T06","02",16-AUG-92,17-AUG-92,1,1992,32
"T06","02",17-AUG-92,18-AUG-92,1,1992,33
"T06","02",18-AUG-92,19-AUG-92,1,1992,33
"T06","02",19-AUG-92,20-AUG-92,1,1992,33
"T06","02",20-AUG-92,21-AUG-92,1,1992,33
"T06","02",21-AUG-92,22-AUG-92,1,1992,33
"T06","02",22-AUG-92,23-AUG-92,1,1992,33
"T06","02",23-AUG-92,24-AUG-92,1,1992,33
"T06","02",24-AUG-92,25-AUG-92,1,1992,34
"T06","02",25-AUG-92,26-AUG-92,1,1992,34
"T06","02",26-AUG-92,27-AUG-92,1,1992,34
"T06","02",27-AUG-92,28-AUG-92,1,1992,34
"T06","02",28-AUG-92,29-AUG-92,1,1992,34
"T06","02",29-AUG-92,30-AUG-92,1,1992,34
"T06","02",30-AUG-92,31-AUG-92,1,1992,34
"T06","02",31-AUG-92,01-SEP-92,1,1992,35
"T06","02",02-SEP-92,03-SEP-92,1,1992,35
"T06","02",03-SEP-92,04-SEP-92,1,1992,35
"T06","02",05-SEP-92,06-SEP-92,1,1992,35
"T06","02",06-SEP-92,07-SEP-92,1,1992,35
"T06","02",07-SEP-92,08-SEP-92,1,1992,36
"T06","02",08-SEP-92,09-SEP-92,1,1992,36
"T06","02",09-SEP-92,10-SEP-92,1,1992,36
"T06","02",10-SEP-92,11-SEP-92,1,1992,36
"T06","02",12-SEP-92,13-SEP-92,1,1992,36
"T06","02",13-SEP-92,14-SEP-92,1,1992,36
"T06","02",14-SEP-92,15-SEP-92,1,1992,37
"T06","02",15-SEP-92,16-SEP-92,1,1992,37
"T06","02",16-SEP-92,17-SEP-92,1,1992,37
"T06","02",17-SEP-92,18-SEP-92,1,1992,37
"T06","02",18-SEP-92,19-SEP-92,1,1992,37
"T06","02",19-SEP-92,20-SEP-92,1,1992,37
"T06","02",20-SEP-92,21-SEP-92,1,1992,37
"T06","02",21-SEP-92,22-SEP-92,1,1992,38
"T06","02",22-SEP-92,23-SEP-92,1,1992,38
"T06","02",23-SEP-92,24-SEP-92,1,1992,38
"T06","02",24-SEP-92,25-SEP-92,1,1992,38
"T06","02",25-SEP-92,26-SEP-92,1,1992,38
"T06","02",26-SEP-92,27-SEP-92,1,1992,38
"T06","02",27-SEP-92,28-SEP-92,1,1992,38
"T06","02",28-SEP-92,29-SEP-92,1,1992,39
"T06","02",29-SEP-92,30-SEP-92,1,1992,39
"T06","02",01-OCT-92,02-OCT-92,1,1992,39
"T06","02",06-OCT-92,07-OCT-92,1,1992,40
"T06","02",21-OCT-92,22-OCT-92,1,1992,42
"T08","01",21-OCT-92,22-OCT-92,1,1992,42
"T08","01",22-OCT-92,23-OCT-92,1,1992,43
"T08","01",23-OCT-92,24-OCT-92,1,1992,43
"T08","01",24-OCT-92,25-OCT-92,1,1992,43
"T08","01",25-OCT-92,26-OCT-92,1,1992,43
"T08","01",26-OCT-92,27-OCT-92,1,1992,43
"T08","01",27-OCT-92,28-OCT-92,1,1992,43
"T08","01",28-OCT-92,29-OCT-92,1,1992,43
"T08","01",29-OCT-92,30-OCT-92,1,1992,44
"T08","01",30-OCT-92,31-OCT-92,1,1992,44
"T08","01",31-OCT-92,01-NOV-92,1,1992,44
"T06","02",01-NOV-92,02-NOV-92,1,1992,43
"T08","01",01-NOV-92,02-NOV-92,1,1992,44
"T08","01",02-NOV-92,03-NOV-92,1,1992,44
"T06","02",03-NOV-92,04-NOV-92,1,1992,44
"T08","01",03-NOV-92,04-NOV-92,1,1992,44
"T08","01",04-NOV-92,05-NOV-92,1,1992,44
"T08","01",05-NOV-92,06-NOV-92,1,1992,45
"T06","02",05-NOV-92,06-NOV-92,1,1992,44
"T08","01",06-NOV-92,07-NOV-92,1,1992,45
"T08","01",07-NOV-92,08-NOV-92,1,1992,45
"T08","01",08-NOV-92,09-NOV-92,1,1992,45
"T08","01",09-NOV-92,10-NOV-92,1,1992,45
"T08","01",10-NOV-92,11-NOV-92,1,1992,45
"T08","01",11-NOV-92,12-NOV-92,1,1992,45
"T08","01",12-NOV-92,13-NOV-92,1,1992,46
"T08","01",13-NOV-92,14-NOV-92,1,1992,46
"T08","01",14-NOV-92,16-NOV-92,2,1992,46
"T08","01",16-NOV-92,17-NOV-92,1,1992,46
"T08","01",17-NOV-92,18-NOV-92,1,1992,46
"T08","01",18-NOV-92,19-NOV-92,1,1992,46
"T08","01",19-NOV-92,20-NOV-92,1,1992,47
"T08","01",20-NOV-92,21-NOV-92,1,1992,47
"T08","01",21-NOV-92,22-NOV-92,1,1992,47
"T08","01",22-NOV-92,23-NOV-92,1,1992,47
"T08","01",23-NOV-92,24-NOV-92,1,1992,47
"T08","01",24-NOV-92,25-NOV-92,1,1992,47
"T08","01",25-NOV-92,26-NOV-92,1,1992,47
"T08","01",26-NOV-92,27-NOV-92,1,1992,48
"T08","01",27-NOV-92,28-NOV-92,1,1992,48
"T08","01",28-NOV-92,29-NOV-92,1,1992,48
"T08","01",29-NOV-92,30-NOV-92,1,1992,48
"T08","01",30-NOV-92,01-DEC-92,1,1992,48
"T08","01",01-DEC-92,02-DEC-92,1,1992,48
"T08","01",02-DEC-92,03-DEC-92,1,1992,48
"T08","01",03-DEC-92,04-DEC-92,1,1992,49
"T08","01",04-DEC-92,05-DEC-92,1,1992,49
"T08","01",05-DEC-92,06-DEC-92,1,1992,49
"T08","01",06-DEC-92,07-DEC-92,1,1992,49
"T08","01",07-DEC-92,08-DEC-92,1,1992,49
"T08","01",08-DEC-92,09-DEC-92,1,1992,49
"T08","01",09-DEC-92,10-DEC-92,1,1992,49
"T05","01",09-DEC-92,10-DEC-92,1,1992,49
"T05","01",10-DEC-92,11-DEC-92,1,1992,50
"T08","01",10-DEC-92,11-DEC-92,1,1992,50
"T05","01",11-DEC-92,12-DEC-92,1,1992,50
"T08","01",11-DEC-92,12-DEC-92,1,1992,50
"T05","01",12-DEC-92,13-DEC-92,1,1992,50
"T08","01",12-DEC-92,13-DEC-92,1,1992,50
"T05","01",13-DEC-92,14-DEC-92,1,1992,50
"T08","01",13-DEC-92,14-DEC-92,1,1992,50
"T08","01",14-DEC-92,15-DEC-92,1,1992,50
"T05","01",14-DEC-92,15-DEC-92,1,1992,50
"T08","01",15-DEC-92,16-DEC-92,1,1992,50
"T05","01",15-DEC-92,16-DEC-92,1,1992,50
"T08","01",16-DEC-92,17-DEC-92,1,1992,50
"T05","01",16-DEC-92,17-DEC-92,1,1992,50
"T08","01",17-DEC-92,18-DEC-92,1,1992,51
"T05","01",17-DEC-92,18-DEC-92,1,1992,51
"T06","02",18-DEC-92,19-DEC-92,1,1992,50
"T08","01",18-DEC-92,19-DEC-92,1,1992,51
"T05","01",18-DEC-92,19-DEC-92,1,1992,51
"T05","01",19-DEC-92,20-DEC-92,1,1992,51
"T08","01",19-DEC-92,20-DEC-92,1,1992,51
"T08","01",20-DEC-92,21-DEC-92,1,1992,51
"T05","01",20-DEC-92,21-DEC-92,1,1992,51
"T05","01",21-DEC-92,22-DEC-92,1,1992,51
"T08","01",21-DEC-92,22-DEC-92,1,1992,51
"T05","01",22-DEC-92,23-DEC-92,1,1992,51
"T08","01",22-DEC-92,23-DEC-92,1,1992,51
"T05","01",23-DEC-92,24-DEC-92,1,1992,51
"T08","01",23-DEC-92,24-DEC-92,1,1992,51
"T05","01",24-DEC-92,25-DEC-92,1,1992,52
"T08","01",24-DEC-92,25-DEC-92,1,1992,52
"T05","01",25-DEC-92,26-DEC-92,1,1992,52
"T08","01",25-DEC-92,26-DEC-92,1,1992,52
"T05","01",26-DEC-92,27-DEC-92,1,1992,52
"T08","01",26-DEC-92,27-DEC-92,1,1992,52
"T08","01",27-DEC-92,28-DEC-92,1,1992,52
"T05","01",27-DEC-92,28-DEC-92,1,1992,52
"T08","01",28-DEC-92,29-DEC-92,1,1992,52
"T05","01",28-DEC-92,29-DEC-92,1,1992,52
"T05","01",29-DEC-92,30-DEC-92,1,1992,52
"T08","01",29-DEC-92,30-DEC-92,1,1992,52
"T05","01",30-DEC-92,31-DEC-92,1,1992,52
"T08","01",30-DEC-92,31-DEC-92,1,1992,52
"T08","01",31-DEC-92,01-JAN-93,1,1993,52
"T04","02",31-DEC-92,01-JAN-93,1,1993,
"T05","01",31-DEC-92,01-JAN-93,1,1993,52
"T08","01",01-JAN-93,02-JAN-93,1,1993,1
"T09","01",01-JAN-93,02-JAN-93,1,1993,1
"T04","02",01-JAN-93,02-JAN-93,1,1993,
"T06","01",24-DEC-92,02-JAN-93,9,1993,1
"T01","01",01-JAN-93,02-JAN-93,1,1993,1
"T05","01",01-JAN-93,02-JAN-93,1,1993,1
"T08","01",02-JAN-93,03-JAN-93,1,1993,1
"T09","01",02-JAN-93,03-JAN-93,1,1993,1
"T04","02",02-JAN-93,03-JAN-93,1,1993,
"T06","01",02-JAN-93,03-JAN-93,1,1993,1
"T01","01",02-JAN-93,03-JAN-93,1,1993,1
"T05","01",02-JAN-93,03-JAN-93,1,1993,1
