SITECODE,SYEAR,PLOTPID,PLOTTYPE,SDATE,FEATURES,UNSURVEYED
T01,1993,7,S,22-JUL-1993,DFH,0
T01,1993,86,S,06-JUL-1993,X,0
T01,1993,87,S,06-JUL-1993,X,0
T01,1993,91,S,22-JUL-1993,X,0
T01,1993,104,S,06-JUL-1993,X,0
T01,1993,105,S,06-JUL-1993,X,0
T01,1993,106,S,06-JUL-1993,X,0
T01,1993,107,S,06-JUL-1993,X,0
T01,1993,108,S,06-JUL-1993,X,0
T01,1993,114,S,19-JUL-1993,X,0
T01,1993,129,S,06-JUL-1993,X,0
T01,1993,130,S,06-JUL-1993,X,0
T01,1993,131,S,06-JUL-1993,X,0
T01,1993,132,S,06-JUL-1993,X,0
T01,1993,133,S,06-JUL-1993,X,0
T01,1993,134,S,12-JUL-1993,X,0
T01,1993,135,S,09-JUL-1993,X,0
T01,1993,136,S,09-JUL-1993,X,0
T01,1993,137,S,12-JUL-1993,X,0
T01,1993,138,S,12-JUL-1993,X,0
T01,1993,139,S,12-JUL-1993,X,0
T01,1993,163,S,01-JUL-1993,X,0
T01,1993,164,S,01-JUL-1993,X,0
T01,1993,165,S,01-JUL-1993,X,0
T01,1993,166,S,01-JUL-1993,X,0
T01,1993,167,S,01-JUL-1993,X,0
T01,1993,168,S,12-JUL-1993,X,0
T01,1993,169,S,09-JUL-1993,X,0
T01,1993,170,S,09-JUL-1993,X,0
T01,1993,171,S,12-JUL-1993,X,0
T01,1993,172,S,12-JUL-1993,X,0
T01,1993,173,S,13-JUL-1993,X,0
T01,1993,174,S,13-JUL-1993,X,0
T01,1993,197,S,01-JUL-1993,X,0
T01,1993,198,S,01-JUL-1993,X,0
T01,1993,199,S,01-JUL-1993,X,0
T01,1993,200,S,01-JUL-1993,X,0
T01,1993,201,S,12-JUL-1993,X,0
T01,1993,202,S,09-JUL-1993,X,0
T01,1993,203,S,09-JUL-1993,X,0
T01,1993,204,S,09-JUL-1993,F,10
T01,1993,205,S,12-JUL-1993,X,0
T01,1993,206,S,13-JUL-1993,X,0
T01,1993,207,S,13-JUL-1993,X,0
T01,1993,208,S,13-JUL-1993,X,0
T01,1993,224,S,19-JUL-1993,PDF,0
T01,1993,234,S,01-JUL-1993,X,0
T01,1993,235,S,12-JUL-1993,X,0
T01,1993,236,S,01-JUL-1993,X,0
T01,1993,237,S,12-JUL-1993,X,0
T01,1993,238,S,09-JUL-1993,X,0
T01,1993,239,S,09-JUL-1993,X,0
T01,1993,240,S,12-JUL-1993,X,0
T01,1993,241,S,12-JUL-1993,X,0
T01,1993,242,S,12-JUL-1993,X,0
T01,1993,243,S,12-JUL-1993,X,0
T01,1993,244,S,12-JUL-1993,X,0
T01,1993,267,S,23-JUL-1993,DFH,0
T01,1993,270,S,29-JUN-1993,X,0
