"SITECODE","SYEAR","PLOTPID","CELLID","FIELDNAME","VALUE"
"T01",1994,169,4,"VEG_SPEC",796
"T01",1994,169,4,"VEG_SPEC",990
"T01",1994,169,4,"VEG_SPEC",2982
"T01",1994,169,5,"VEG_SPEC",122
"T01",1994,169,5,"VEG_SPEC",796
"T01",1994,169,5,"VEG_SPEC",981
"T01",1994,169,5,"VEG_SPEC",990
"T01",1994,169,6,"VEG_SPEC",122
"T01",1994,169,6,"VEG_SPEC",796
"T01",1994,169,6,"VEG_SPEC",990
"T01",1994,169,7,"VEG_SPEC",122
"T01",1994,169,7,"VEG_SPEC",796
"T01",1994,169,7,"VEG_SPEC",990
"T01",1994,169,8,"VEG_SPEC",122
"T01",1994,169,8,"VEG_SPEC",796
"T01",1994,169,8,"VEG_SPEC",990
"T01",1994,169,8,"VEG_SPEC",2822
"T01",1994,169,9,"VEG_SPEC",796
"T01",1994,169,9,"VEG_SPEC",990
"T01",1994,169,10,"VEG_SPEC",122
"T01",1994,394,5,"VEG_SPEC",981
"T01",1994,394,6,"VEG_SPEC",53
"T01",1994,394,6,"VEG_SPEC",684
"T01",1994,394,6,"VEG_SPEC",796
"T01",1994,394,6,"VEG_SPEC",981
"T01",1994,394,6,"VEG_SPEC",990
"T01",1994,394,7,"VEG_SPEC",684
"T01",1994,394,7,"VEG_SPEC",796
"T01",1994,394,7,"VEG_SPEC",981
"T01",1994,394,8,"VEG_SPEC",796
"T01",1994,394,8,"VEG_SPEC",981
"T01",1994,394,9,"VEG_SPEC",53
"T01",1994,394,9,"VEG_SPEC",684
"T01",1994,394,9,"VEG_SPEC",796
"T01",1994,394,9,"VEG_SPEC",981
"T01",1994,394,10,"VEG_SPEC",684
"T01",1994,394,10,"VEG_SPEC",796
"T01",1994,394,10,"VEG_SPEC",981
"T01",1994,394,10,"VEG_SPEC",990
"T01",1994,394,,"Q1",141
"T01",1994,135,1,"VEG_SPEC",796
"T01",1994,135,1,"VEG_SPEC",981
"T01",1994,135,1,"VEG_SPEC",990
"T01",1994,135,2,"VEG_SPEC",122
"T01",1994,135,2,"VEG_SPEC",796
"T01",1994,135,2,"VEG_SPEC",990
"T01",1994,135,3,"VEG_SPEC",122
"T01",1994,135,3,"VEG_SPEC",796
"T01",1994,135,3,"VEG_SPEC",990
"T01",1994,135,4,"VEG_SPEC",122
"T01",1994,135,4,"VEG_SPEC",796
"T01",1994,135,4,"VEG_SPEC",960
"T01",1994,135,4,"VEG_SPEC",990
"T01",1994,135,5,"VEG_SPEC",122
"T01",1994,135,5,"VEG_SPEC",796
"T01",1994,135,5,"VEG_SPEC",960
"T01",1994,135,5,"VEG_SPEC",990
"T01",1994,135,6,"VEG_SPEC",53
"T01",1994,135,6,"VEG_SPEC",122
"T01",1994,135,6,"VEG_SPEC",796
"T01",1994,135,6,"VEG_SPEC",990
"T01",1994,135,7,"VEG_SPEC",122
"T01",1994,135,7,"VEG_SPEC",796
"T01",1994,135,7,"VEG_SPEC",990
"T01",1994,135,8,"VEG_SPEC",122
"T01",1994,135,8,"VEG_SPEC",796
"T01",1994,135,8,"VEG_SPEC",990
"T01",1994,135,9,"VEG_SPEC",122
"T01",1994,135,9,"VEG_SPEC",796
"T01",1994,135,9,"VEG_SPEC",990
"T01",1994,135,10,"VEG_SPEC",122
"T01",1994,135,10,"VEG_SPEC",796
"T01",1994,135,10,"VEG_SPEC",990
"T01",1994,135,,"Q1",141
"T01",1994,169,1,"VEG_SPEC",122
"T01",1994,169,1,"VEG_SPEC",796
"T01",1994,169,1,"VEG_SPEC",981
"T01",1994,169,1,"VEG_SPEC",990
"T01",1994,169,2,"VEG_SPEC",122
"T01",1994,169,2,"VEG_SPEC",796
"T01",1994,169,2,"VEG_SPEC",990
"T01",1994,169,3,"VEG_SPEC",796
"T01",1994,169,3,"VEG_SPEC",990
"T01",1994,169,4,"VEG_SPEC",122
"T01",1994,462,2,"VEG_SPEC",981
