"SITECODE","SYEAR","PLOTPID","SDATE","PEDATE","LANDUSE","SLOPE","ASPECT","SLOPEFORM","NVCCLASS"
"T04",2009,21,19-JUN-09,19-JUN-09,"",,,"",""
"T05",1994,289,19-MAY-94,19-MAY-94,"2",8,250,"1","MG7a"
"T05",1994,148,19-MAY-94,19-MAY-94,"2",14,312,"3","MG7b"
"T05",1994,196,19-MAY-94,19-MAY-94,"2",5,326,"2","MG7b"
"T05",1994,256,23-MAY-94,23-MAY-94,"2",0,0,"0","MG7a"
"T05",1994,210,23-MAY-94,23-MAY-94,"2",2,272,"2","MG7b"
"T05",1994,272,24-MAY-94,24-MAY-94,"2",0,0,"0","MG7b"
"T05",1994,9,25-MAY-94,25-MAY-94,"2",8,98,"2","MG7b"
"T05",1994,26,25-MAY-94,25-MAY-94,"2",8,106,"2","MG7b"
"T05",1994,343,02-JUN-94,02-JUN-94,"16",0,0,"0",""
"T05",1994,344,02-JUN-94,02-JUN-94,"16",0,0,"0",""
"T05",1994,91,07-JUN-94,07-JUN-94,"2",10,14,"2","MG7b"
"T05",1994,128,07-JUN-94,07-JUN-94,"2",4,334,"2","MG7a"
"T05",1994,118,07-JUN-94,07-JUN-94,"2",8,58,"2","MG7b"
"T05",1994,45,08-JUN-94,08-JUN-94,"2",4,158,"2","MG10a"
"T05",1994,51,08-JUN-94,08-JUN-94,"2",6,184,"2","MG10a"
"T08",1994,173,13-JUN-94,13-JUN-94,"3",4,310,"2","MG1d"
"T08",1994,194,13-JUN-94,13-JUN-94,"11",15,30,"1","W8e"
"T08",1994,168,14-JUN-94,14-JUN-94,"22",3,50,"2","W8a"
"T08",1994,32,14-JUN-94,14-JUN-94,"11",8,180,"2","W14"
"T08",1994,61,16-JUN-94,16-JUN-94,"13",5,160,"2","W8a"
"T08",1994,104,17-JUN-94,17-JUN-94,"11",5,140,"2","W8a"
"T08",1994,370,20-JUN-94,20-JUN-94,"18",2,60,"2","S26a"
"T08",1994,327,20-JUN-94,20-JUN-94,"11",8,50,"3","W8a"
"T01",1994,603,21-JUN-94,21-JUN-94,"2",2,270,"2","MG7b"
"T01",1994,462,21-JUN-94,21-JUN-94,"2",2,360,"1","MG7b"
"T01",1994,629,21-JUN-94,21-JUN-94,"2",2,220,"2","MG7b"
"T01",1994,394,22-JUN-94,22-JUN-94,"2",1,180,"2","MG7b"
"T08",1994,239,22-JUN-94,22-JUN-94,"11",5,5,"2","W8a"
"T01",1994,393,22-JUN-94,22-JUN-94,"2",2,180,"2","MG7b"
"T01",1994,427,22-JUN-94,22-JUN-94,"2",2,360,"2","MG7b"
"T08",1994,72,23-JUN-94,23-JUN-94,"11",4,330,"2","W14"
"T08",1994,218,27-JUN-94,27-JUN-94,"11",4,330,"2","W8a"
"T01",1994,169,27-JUN-94,27-JUN-94,"2",1,90,"1","MG7b"
"T01",1994,135,28-JUN-94,28-JUN-94,"2",1,80,"2","MG7b"
"T01",1994,606,29-JUN-94,29-JUN-94,"2",1,300,"1","MG7b"
"T01",1994,607,30-JUN-94,30-JUN-94,"2",1,265,"1","MG7b"
"T01",1994,746,15-AUG-94,15-AUG-94,"16",1,170,"2","WE24"
"T08",1994,416,19-AUG-94,19-AUG-94,"2",2,45,"2","MG7a"
"T01",1994,745,22-AUG-94,22-AUG-94,"16",1,170,"2","WE24"
"T08",1994,421,22-AUG-94,22-AUG-94,"3",10,45,"2","MG5b"
"T05",1996,272,04-MAY-96,04-MAY-96,"2",0,0,"2","MG7b"
"T05",1996,289,13-MAY-96,13-MAY-96,"2",6,230,"2","MG7a"
"T05",1996,148,13-MAY-96,13-MAY-96,"2",12,304,"2","MG7b"
"T05",1996,256,14-MAY-96,14-MAY-96,"2",0,0,"0","MG7a"
"T05",1996,210,14-MAY-96,14-MAY-96,"2",3,206,"2","MG7b"
"T05",1996,91,23-MAY-96,23-MAY-96,"2",8,15,"2","MG7b"
"T05",1996,45,25-MAY-96,25-MAY-96,"2",4,158,"2","MG10a"
"T05",1996,26,28-MAY-96,28-MAY-96,"2",10,118,"2","MG7b"
"T05",1996,9,28-MAY-96,28-MAY-96,"2",5,94,"2","MG7b"
"T05",1996,118,04-JUN-96,04-JUN-96,"2",8,58,"2","MG7b"
"T05",1996,51,05-JUN-96,05-JUN-96,"2",6,184,"2","MG10a"
"T05",1996,343,06-JUN-96,06-JUN-96,"18",0,0,"2","M27c"
"T05",1996,344,06-JUN-96,06-JUN-96,"18",0,0,"2","M27c"
"T04",1996,206,15-JUN-96,,"18",22,190,"2",""
"T04",1996,226,15-JUN-96,,"16",2,180,"2",""
"T04",1996,509,15-JUN-96,,"18",20,60,"3",""
"T04",1996,507,15-JUN-96,,"18",2,45,"2",""
"T04",1996,184,16-JUN-96,,"18",10,90,"2",""
"T04",1996,164,16-JUN-96,,"16",10,45,"3",""
"T08",1996,421,17-JUN-96,17-JUN-96,"3",10,45,"2","MG5b"
"T08",1996,104,17-JUN-96,17-JUN-96,"11",5,140,"2","W8a"
"T07",1996,451,18-JUN-96,18-JUN-96,"16",32,278,"2","U4A"
"T08",1996,218,18-JUN-96,18-JUN-96,"11",4,330,"2","W8a"
"T08",1996,239,18-JUN-96,18-JUN-96,"11",5,5,"2","W8a"
"T07",1996,436,20-JUN-96,20-JUN-96,"16",4,0,"2","U4D"
"T01",1996,394,20-JUN-96,20-JUN-96,"2",1,180,"2","MG7b"
"T01",1996,393,20-JUN-96,20-JUN-96,"2",2,180,"2","MG7b"
"T07",1996,277,21-JUN-96,21-JUN-96,"16",3,284,"2","MG9A"
"T04",1996,78,22-JUN-96,,"18",8,90,"2",""
"T04",1996,138,22-JUN-96,,"18",45,120,"",""
"T04",1996,800,22-JUN-96,,"18",8,110,"2",""
"T05",1996,334,24-JUN-96,24-JUN-96,"11",9,276,"2","W7b/c"
"T07",1996,278,24-JUN-96,24-JUN-96,"16",9,324,"2","M23A"
"T08",1996,72,24-JUN-96,24-JUN-96,"11",4,330,"2","W14"
"T01",1996,427,25-JUN-96,25-JUN-96,"2",2,360,"2","MG7b"
"T01",1996,462,25-JUN-96,25-JUN-96,"2",2,360,"1","MG7b"
"T05",1996,332,25-JUN-96,25-JUN-96,"11",8,284,"1","W21a"
"T05",1996,336,25-JUN-96,25-JUN-96,"11",5,250,"2","W7b/c"
"T07",1996,272,27-JUN-96,27-JUN-96,"16",15,244,"3","MG9A"
"T04",1996,502,27-JUN-96,,"16",10,50,"3",""
"T08",1996,416,27-JUN-96,27-JUN-96,"2",2,45,"2","MG7a"
"T08",1996,168,27-JUN-96,27-JUN-96,"22",3,50,"2","W8"
"T08",1996,32,27-JUN-96,27-JUN-96,"11",8,180,"2","W14"
"T07",1996,320,27-JUN-96,27-JUN-96,"16",18,122,"2","U20A"
"T04",1996,505,27-JUN-96,,"18",2,55,"2",""
