"SITECODE","SYEAR","PLOTPID","CELLID","FEATURE"
"T01",1994,427,9,"X"
"T01",1994,427,10,"X"
"T01",1994,462,1,"X"
"T01",1994,462,2,"X"
"T01",1994,462,3,"X"
"T01",1994,462,4,"X"
"T01",1994,462,5,"X"
"T01",1994,462,6,"X"
"T01",1994,462,7,"X"
"T01",1994,462,8,"X"
"T01",1994,462,9,"X"
"T01",1994,462,10,"X"
"T01",1994,603,1,"X"
"T01",1994,603,2,"X"
"T01",1994,603,3,"X"
"T01",1994,603,4,"X"
"T01",1994,745,5,"X"
"T01",1994,745,6,"X"
"T01",1994,745,7,"X"
"T01",1994,745,8,"X"
"T01",1994,745,9,"X"
"T01",1994,745,10,"X"
"T01",1994,746,1,"X"
"T01",1994,746,2,"X"
"T01",1994,746,3,"X"
"T01",1994,746,4,"X"
"T01",1994,746,5,"X"
"T01",1994,746,6,"X"
"T01",1994,746,7,"X"
"T01",1994,746,8,"X"
"T01",1994,746,9,"X"
"T01",1994,746,10,"X"
"T01",1994,135,1,"X"
"T01",1994,135,2,"X"
"T01",1994,135,3,"X"
"T01",1994,135,4,"X"
"T01",1994,135,5,"X"
"T01",1994,135,6,"X"
"T01",1994,135,7,"X"
"T01",1994,135,8,"X"
"T01",1994,135,9,"X"
"T01",1994,135,10,"X"
"T01",1994,169,1,"X"
"T01",1994,169,2,"X"
"T01",1994,169,3,"X"
"T01",1994,169,4,"X"
"T01",1994,169,5,"X"
"T01",1994,169,6,"X"
"T01",1994,169,7,"X"
"T01",1994,169,8,"X"
"T01",1994,169,9,"X"
"T01",1994,169,10,"X"
"T01",1994,393,1,"X"
"T01",1994,393,2,"X"
"T01",1994,393,3,"X"
"T01",1994,393,4,"X"
"T01",1994,393,5,"X"
"T01",1994,393,6,"X"
"T01",1994,393,7,"X"
"T01",1994,393,8,"X"
"T01",1994,393,9,"X"
"T01",1994,393,10,"X"
"T01",1994,394,1,"X"
"T01",1994,394,2,"X"
"T01",1994,394,3,"X"
"T01",1994,394,4,"X"
"T01",1994,394,5,"X"
"T01",1994,394,6,"X"
"T01",1994,394,7,"X"
"T01",1994,394,8,"X"
"T01",1994,394,9,"X"
"T01",1994,394,10,"X"
"T01",1994,427,1,"X"
"T01",1994,427,2,"X"
"T01",1994,427,3,"X"
"T01",1994,427,4,"X"
"T01",1994,427,5,"X"
"T01",1994,427,6,"X"
"T01",1994,427,7,"X"
"T01",1994,427,8,"X"
"T05",1994,45,3,"X"
"T05",1994,45,4,"X"
"T05",1994,45,5,"X"
"T05",1994,45,6,"X"
"T05",1994,45,7,"X"
"T05",1994,45,8,"X"
"T05",1994,45,9,"X"
"T05",1994,45,10,"X"
"T05",1994,51,1,"X"
"T05",1994,51,2,"X"
"T05",1994,51,3,"X"
"T05",1994,51,4,"X"
"T05",1994,51,5,"X"
"T05",1994,51,6,"X"
"T05",1994,51,7,"X"
"T05",1994,51,8,"X"
"T05",1994,51,9,"X"
"T05",1994,51,10,"X"
"T05",1994,91,1,"X"
"T05",1994,91,2,"X"
"T05",1994,91,3,"X"
"T05",1994,91,4,"X"
"T05",1994,91,5,"X"
"T05",1994,91,6,"X"
"T01",1994,603,5,"X"
"T01",1994,603,6,"X"
"T01",1994,603,7,"X"
"T01",1994,603,8,"X"
"T01",1994,603,9,"X"
"T01",1994,603,10,"X"
"T01",1994,606,1,"X"
"T01",1994,606,2,"X"
"T01",1994,606,3,"X"
"T01",1994,606,4,"X"
"T01",1994,606,5,"X"
"T01",1994,606,6,"X"
"T01",1994,606,7,"X"
"T01",1994,606,8,"X"
"T01",1994,606,9,"X"
"T01",1994,606,10,"X"
"T01",1994,607,1,"X"
"T01",1994,607,2,"X"
"T01",1994,607,3,"X"
"T01",1994,607,4,"X"
"T01",1994,607,5,"X"
"T01",1994,607,6,"X"
"T01",1994,607,7,"X"
"T01",1994,607,8,"X"
"T01",1994,607,9,"X"
"T01",1994,607,10,"X"
"T01",1994,629,1,"X"
"T01",1994,629,2,"X"
"T01",1994,629,3,"X"
"T01",1994,629,4,"X"
"T01",1994,629,5,"X"
"T01",1994,629,6,"X"
"T01",1994,629,7,"X"
"T01",1994,629,8,"X"
"T01",1994,629,9,"X"
"T01",1994,629,10,"X"
"T01",1994,745,1,"X"
"T01",1994,745,2,"X"
"T01",1994,745,3,"X"
"T01",1994,745,4,"X"
"T05",1994,128,9,"X"
"T05",1994,128,10,"X"
"T05",1994,148,1,"X"
"T05",1994,148,2,"X"
"T05",1994,148,3,"X"
"T05",1994,148,4,"X"
"T05",1994,148,5,"X"
"T05",1994,148,6,"X"
"T05",1994,148,7,"X"
"T05",1994,148,8,"X"
"T05",1994,148,9,"X"
"T05",1994,148,10,"X"
"T05",1994,196,1,"X"
"T05",1994,196,2,"X"
"T05",1994,196,3,"X"
"T05",1994,196,4,"X"
"T05",1994,196,5,"X"
"T05",1994,196,6,"X"
"T05",1994,196,7,"X"
"T05",1994,196,8,"X"
"T05",1994,196,9,"X"
"T05",1994,196,10,"X"
"T05",1994,210,1,"X"
"T05",1994,210,2,"X"
"T05",1994,210,3,"X"
"T05",1994,210,4,"X"
"T05",1994,210,5,"X"
"T05",1994,210,6,"X"
"T05",1994,210,7,"X"
"T05",1994,210,8,"X"
"T05",1994,210,9,"X"
"T05",1994,210,10,"X"
"T05",1994,256,1,"X"
"T05",1994,256,2,"X"
"T05",1994,256,3,"X"
"T05",1994,256,4,"X"
"T05",1994,256,5,"X"
"T05",1994,256,6,"X"
"T05",1994,256,7,"X"
"T05",1994,256,8,"X"
"T05",1994,256,9,"X"
"T05",1994,256,10,"X"
"T05",1994,9,1,"X"
"T05",1994,9,2,"X"
"T05",1994,9,3,"X"
"T05",1994,9,4,"X"
"T05",1994,9,5,"X"
"T05",1994,9,6,"X"
"T05",1994,9,7,"X"
"T05",1994,9,8,"X"
"T05",1994,9,9,"X"
"T05",1994,9,10,"X"
"T05",1994,26,1,"X"
"T05",1994,26,2,"X"
"T05",1994,26,3,"X"
"T05",1994,26,4,"X"
"T05",1994,26,5,"X"
"T05",1994,26,6,"X"
"T05",1994,26,7,"X"
"T05",1994,26,8,"X"
"T05",1994,26,9,"X"
"T05",1994,26,10,"X"
