"SITECODE","SYEAR","PLOTPID","DOMDATE","DBHDATE","SEEDDATE"
"T08",1993,3,24-AUG-93,24-AUG-93,24-AUG-93
"T08",1993,374,03-SEP-93,03-SEP-93,03-SEP-93
"T08",1993,29,01-SEP-93,01-SEP-93,01-SEP-93
"T08",1993,45,31-AUG-93,31-AUG-93,31-AUG-93
"T08",1993,49,01-SEP-93,01-SEP-93,01-SEP-93
"T08",1993,54,12-AUG-93,12-AUG-93,12-AUG-93
"T08",1993,56,01-SEP-93,01-SEP-93,01-SEP-93
"T08",1993,60,09-SEP-93,09-SEP-93,09-SEP-93
"T08",1993,65,31-AUG-93,31-AUG-93,31-AUG-93
"T08",1993,67,31-AUG-93,31-AUG-93,31-AUG-93
"T08",1993,96,31-AUG-93,31-AUG-93,31-AUG-93
"T08",1993,122,24-AUG-93,24-AUG-93,24-AUG-93
"T08",1993,124,25-AUG-93,25-AUG-93,25-AUG-93
"T08",1993,134,24-AUG-93,24-AUG-93,24-AUG-93
"T08",1993,136,26-AUG-93,26-AUG-93,25-AUG-93
"T08",1993,165,09-SEP-93,09-SEP-93,09-SEP-93
"T08",1993,178,10-SEP-93,10-SEP-93,10-SEP-93
"T08",1993,181,10-SEP-93,10-SEP-93,10-SEP-93
"T08",1993,186,06-SEP-93,06-SEP-93,06-SEP-93
"T08",1993,203,07-SEP-93,07-SEP-93,07-SEP-93
"T08",1993,205,07-SEP-93,07-SEP-93,07-SEP-93
"T08",1993,206,10-AUG-93,10-AUG-93,10-AUG-93
"T08",1993,208,10-AUG-93,10-AUG-93,10-AUG-93
"T08",1993,224,11-AUG-93,11-AUG-93,11-AUG-93
"T08",1993,227,11-AUG-93,11-AUG-93,11-AUG-93
"T08",1993,249,26-AUG-93,26-AUG-93,26-AUG-93
"T08",1993,254,27-AUG-93,27-AUG-93,27-AUG-93
"T08",1993,257,26-AUG-93,26-AUG-93,26-AUG-93
"T08",1993,262,27-AUG-93,27-AUG-93,27-AUG-93
"T08",1993,263,26-AUG-93,26-AUG-93,26-AUG-93
"T08",1993,268,27-AUG-93,27-AUG-93,27-AUG-93
"T08",1993,318,02-SEP-93,02-SEP-93,02-SEP-93
"T08",1993,322,27-AUG-93,27-AUG-93,27-AUG-93
"T08",1993,328,02-SEP-93,02-SEP-93,02-SEP-93
"T08",1993,333,06-SEP-93,06-SEP-93,06-SEP-93
"T08",1993,335,02-SEP-93,02-SEP-93,02-SEP-93
"T08",1993,336,02-SEP-93,02-SEP-93,02-SEP-93
"T08",1993,344,03-SEP-93,03-SEP-93,03-SEP-93
"T08",1993,361,06-SEP-93,06-SEP-93,06-SEP-93
"T08",1993,372,03-SEP-93,03-SEP-93,03-SEP-93
"T08",1993,28,01-SEP-93,01-SEP-93,01-SEP-93
"T09",1994,29,01-AUG-94,01-AUG-94,01-AUG-94
"T09",1994,40,09-AUG-94,09-AUG-94,09-AUG-94
"T09",1994,52,24-AUG-94,24-AUG-94,24-AUG-94
"T09",1994,62,03-AUG-94,03-AUG-94,03-AUG-94
"T09",1994,66,05-AUG-94,05-AUG-94,05-AUG-94
"T09",1994,74,05-AUG-94,05-AUG-94,05-AUG-94
"T09",1994,88,19-AUG-94,19-AUG-94,19-AUG-94
"T09",1994,93,27-JUL-94,27-JUL-94,27-JUL-94
"T09",1994,99,03-AUG-94,03-AUG-94,03-AUG-94
"T09",1994,101,04-AUG-94,04-AUG-94,04-AUG-94
"T09",1994,105,15-AUG-94,15-AUG-94,15-AUG-94
"T09",1994,106,15-AUG-94,15-AUG-94,15-AUG-94
"T09",1994,119,09-AUG-94,09-AUG-94,09-AUG-94
"T09",1994,129,18-AUG-94,18-AUG-94,18-AUG-94
"T09",1994,130,16-AUG-94,16-AUG-94,16-AUG-94
"T09",1994,132,15-AUG-94,15-AUG-94,15-AUG-94
"T09",1994,136,23-AUG-94,23-AUG-94,23-AUG-94
"T09",1994,139,12-AUG-94,12-AUG-94,12-AUG-94
"T09",1994,142,24-AUG-94,24-AUG-94,24-AUG-94
"T09",1994,149,05-SEP-94,05-SEP-94,05-SEP-94
"T09",1994,162,24-AUG-94,24-AUG-94,24-AUG-94
"T09",1994,174,06-SEP-94,06-SEP-94,06-SEP-94
"T09",1994,194,06-SEP-94,06-SEP-94,06-SEP-94
"T09",1994,209,24-AUG-94,24-AUG-94,24-AUG-94
"T09",1994,210,25-AUG-94,25-AUG-94,25-AUG-94
"T09",1994,221,08-AUG-94,08-AUG-94,08-AUG-94
"T09",1994,222,08-AUG-94,08-AUG-94,08-AUG-94
"T09",1994,226,31-AUG-94,31-AUG-94,31-AUG-94
"T09",1994,237,18-AUG-94,18-AUG-94,18-AUG-94
"T09",1994,257,02-AUG-94,02-AUG-94,02-AUG-94
"T09",1994,273,31-AUG-94,31-AUG-94,31-AUG-94
"T09",1994,274,30-AUG-94,30-AUG-94,30-AUG-94
"T09",1994,276,01-SEP-94,01-SEP-94,01-SEP-94
"T09",1994,290,22-AUG-94,22-AUG-94,22-AUG-94
"T09",1994,291,22-AUG-94,22-AUG-94,22-AUG-94
"T09",1994,302,01-SEP-94,01-SEP-94,01-SEP-94
"T09",1994,305,02-SEP-94,02-SEP-94,02-SEP-94
"T09",1994,314,31-AUG-94,31-AUG-94,31-AUG-94
"T09",1994,331,26-AUG-94,26-AUG-94,26-AUG-94
"T09",1994,332,26-AUG-94,26-AUG-94,26-AUG-94
"T09",1994,343,02-SEP-94,02-SEP-94,02-SEP-94
"T09",1994,369,25-AUG-94,25-AUG-94,25-AUG-94
"T05",1994,325,15-JUN-94,15-JUN-94,15-JUN-94
"T05",1994,333,15-JUN-94,15-JUN-94,15-JUN-94
"T06",1994,1,21-JAN-94,21-JAN-94,21-JAN-94
"T06",1994,2,28-JAN-94,28-JAN-94,28-JAN-94
"T06",1994,3,28-JAN-94,28-JAN-94,28-JAN-94
"T06",1994,4,04-MAR-94,04-MAR-94,04-MAR-94
"T06",1994,5,04-MAR-94,04-MAR-94,04-MAR-94
"T06",1994,6,11-MAR-94,11-MAR-94,11-MAR-94
"T06",1994,7,11-MAR-94,11-MAR-94,11-MAR-94
"T06",1994,8,25-MAR-94,25-MAR-94,25-MAR-94
"T06",1994,9,25-MAR-94,25-MAR-94,25-MAR-94
"T06",1994,10,29-MAR-94,29-MAR-94,29-MAR-94
"T06",1994,11,29-MAR-94,29-MAR-94,29-MAR-94
"T06",1994,12,29-MAR-94,29-MAR-94,29-MAR-94
"T06",1994,13,29-MAR-94,29-MAR-94,29-MAR-94
"T09",1994,1,12-AUG-94,12-AUG-94,12-AUG-94
"T09",1994,2,11-AUG-94,11-AUG-94,11-AUG-94
"T09",1994,16,01-SEP-94,01-SEP-94,01-SEP-94
"T09",1994,21,19-AUG-94,19-AUG-94,19-AUG-94
"T09",1994,22,10-AUG-94,10-AUG-94,10-AUG-94
"T09",1994,24,09-AUG-94,09-AUG-94,09-AUG-94
"T09",1994,26,09-AUG-94,09-AUG-94,09-AUG-94
"T09",1994,28,02-AUG-94,02-AUG-94,02-AUG-94
"T08",2002,3,16-AUG-02,16-AUG-02,16-AUG-02
"T08",2002,374,30-JUL-02,30-JUL-02,30-JUL-02
"T08",2002,29,12-JUL-02,12-JUL-02,12-JUL-02
"T08",2002,45,11-JUN-02,11-JUN-02,11-JUN-02
"T08",2002,49,08-JUL-02,08-JUL-02,08-JUL-02
"T08",2002,54,09-JUL-02,09-JUL-02,09-JUL-02
"T08",2002,56,12-JUL-02,12-JUL-02,12-JUL-02
"T08",2002,60,09-JUL-02,09-JUL-02,09-JUL-02
"T08",2002,65,02-JUL-02,02-JUL-02,02-JUL-02
"T08",2002,67,12-AUG-02,12-AUG-02,12-AUG-02
"T08",2002,96,12-AUG-02,12-AUG-02,12-AUG-02
"T08",2002,122,13-AUG-02,13-AUG-02,13-AUG-02
"T08",2002,124,13-AUG-02,13-AUG-02,13-AUG-02
"T08",2002,134,13-AUG-02,13-AUG-02,13-AUG-02
"T08",2002,136,13-AUG-02,13-AUG-02,13-AUG-02
"T08",2002,165,08-JUL-02,08-JUL-02,08-JUL-02
"T08",2002,178,05-JUL-02,05-JUL-02,05-JUL-02
"T08",2002,181,05-JUL-02,05-JUL-02,05-JUL-02
"T08",2002,186,05-AUG-02,05-AUG-02,05-AUG-02
"T08",2002,203,05-AUG-02,05-AUG-02,05-AUG-02
"T08",2002,205,12-AUG-02,12-AUG-02,12-AUG-02
"T08",2002,206,12-AUG-02,12-AUG-02,12-AUG-02
"T08",2002,208,02-JUL-02,02-JUL-02,02-JUL-02
"T08",2002,224,02-JUL-02,02-JUL-02,02-JUL-02
"T08",2002,227,05-AUG-02,05-AUG-02,05-AUG-02
"T08",2002,249,16-AUG-02,16-AUG-02,16-AUG-02
"T08",2002,254,16-JUL-02,16-JUL-02,16-JUL-02
"T08",2002,257,16-JUL-02,16-JUL-02,16-JUL-02
"T08",2002,262,22-JUL-02,22-JUL-02,22-JUL-02
"T08",2002,263,16-JUL-02,16-JUL-02,16-JUL-02
"T08",2002,268,16-JUL-02,16-JUL-02,16-JUL-02
"T08",2002,318,23-JUL-02,23-JUL-02,23-JUL-02
"T08",2002,322,22-JUL-02,22-JUL-02,22-JUL-02
"T08",2002,328,22-JUL-02,22-JUL-02,22-JUL-02
"T08",2002,333,26-JUL-02,26-JUL-02,25-JUL-02
"T08",2002,335,22-JUL-02,22-JUL-02,22-JUL-02
"T08",2002,336,23-JUL-02,23-JUL-02,23-JUL-02
"T08",2002,344,23-AUG-02,23-AUG-02,23-AUG-02
"T08",2002,361,29-JUL-02,29-JUL-02,25-JUL-02
"T08",2002,372,30-JUL-02,30-JUL-02,30-JUL-02
"T08",2002,28,11-JUN-02,11-JUN-02,11-JUN-02
"T08",2005,3,,15-AUG-05,15-AUG-05
"T08",2005,28,,15-AUG-05,15-AUG-05
"T08",2005,29,,15-AUG-05,15-AUG-05
"T08",2005,45,,15-AUG-05,15-AUG-05
"T08",2005,49,,05-AUG-05,05-AUG-05
"T08",2005,54,,09-AUG-05,09-AUG-05
"T08",2005,56,,15-AUG-05,15-AUG-05
"T08",2005,60,,09-AUG-05,09-AUG-05
"T08",2005,65,,15-AUG-05,15-AUG-05
"T08",2005,67,,15-AUG-05,15-AUG-05
"T08",2005,96,,15-AUG-05,15-AUG-05
"T08",2005,122,,16-SEP-05,16-SEP-05
"T08",2005,124,,16-SEP-05,16-SEP-05
"T08",2005,134,,16-AUG-05,16-AUG-05
"T08",2005,136,,16-AUG-05,16-AUG-05
"T08",2005,165,,05-AUG-05,05-AUG-05
"T08",2005,178,,17-AUG-05,17-AUG-05
"T08",2005,181,,09-AUG-05,09-AUG-05
"T08",2005,186,,02-AUG-05,02-AUG-05
"T08",2005,203,,04-AUG-05,04-AUG-05
"T08",2005,205,,05-AUG-05,05-AUG-05
"T08",2005,206,,07-SEP-05,07-SEP-05
"T08",2005,208,,07-SEP-05,07-SEP-05
"T08",2005,224,,02-AUG-05,02-AUG-05
"T08",2005,227,,02-AUG-05,02-AUG-05
"T08",2005,249,,02-SEP-05,02-SEP-05
"T08",2005,254,,16-AUG-05,16-AUG-05
"T08",2005,257,,16-AUG-05,16-AUG-05
"T08",2005,262,,02-SEP-05,02-SEP-05
"T08",2005,263,,16-AUG-05,16-AUG-05
"T08",2005,268,,19-AUG-05,19-AUG-05
"T08",2005,318,,02-SEP-05,02-SEP-05
"T08",2005,322,,19-AUG-05,19-AUG-05
"T08",2005,328,,19-AUG-05,19-AUG-05
"T08",2005,333,,04-AUG-05,04-AUG-05
"T08",2005,335,,23-AUG-05,02-SEP-05
"T08",2005,336,,23-AUG-05,02-SEP-05
"T08",2005,344,,19-SEP-05,19-SEP-05
"T08",2005,361,,04-AUG-05,04-AUG-05
"T08",2005,372,,20-SEP-05,20-SEP-05
"T08",2005,374,,20-SEP-05,20-SEP-05
"T09",2011,209,16-JUN-11,,16-JUN-11
"T09",2011,221,13-JUN-11,,13-JUN-11
"T09",2011,222,13-JUN-11,,13-JUN-11
"T09",2011,226,13-JUN-11,,13-JUN-11
"T09",2011,237,06-JUN-11,,06-JUN-11
"T09",2011,257,09-JUN-11,,09-JUN-11
"T09",2011,273,08-JUN-11,,08-JUN-11
"T09",2011,274,08-JUN-11,,08-JUN-11
"T09",2011,276,06-JUN-11,,06-JUN-11
"T09",2011,290,09-JUN-11,,09-JUN-11
"T09",2011,291,09-JUN-11,,09-JUN-11
"T09",2011,302,06-JUN-11,,06-JUN-11
"T09",2011,305,06-JUN-11,,06-JUN-11
"T09",2011,314,09-JUN-11,,09-JUN-11
"T09",2011,332,15-JUN-11,,15-JUN-11
"T09",2011,343,08-JUN-11,,08-JUN-11
"T09",2011,600,16-JUN-11,,16-JUN-11
"T09",2011,601,20-JUN-11,,20-JUN-11
"T09",2011,602,20-JUN-11,,20-JUN-11
"T09",2011,603,15-JUN-11,,15-JUN-11
"T09",2011,604,01-JUN-11,,01-JUN-11
"T09",2011,605,22-JUN-11,,22-JUN-11
"T09",2011,606,07-JUN-11,,07-JUN-11
"T09",2011,607,20-JUN-11,,20-JUN-11
"T09",2011,608,20-JUN-11,,20-JUN-11
"T08",2011,3,,,27-JUL-11
"T08",2011,28,,,27-JUN-11
